Time [s], HR, PULSE, RESP, SpO2
0,66,66,4,100
1,66,66,3,100
2,66,66,3,100
3,66,66,NaN,100
4,66,66,NaN,100
5,66,66,NaN,100
6,66,66,NaN,100
7,66,66,8,100
8,67,66,8,100
9,67,66,8,100
10,67,66,8,100
11,67,66,8,100
12,67,66,8,100
13,67,66,8,100
14,67,66,8,100
15,67,66,8,100
16,67,66,8,100
17,67,66,8,100
18,67,66,8,100
19,67,66,8,100
20,67,66,8,100
21,67,66,8,100
22,67,66,8,100
23,67,66,8,100
24,67,66,8,100
25,67,66,8,100
26,67,66,8,100
27,67,66,8,100
28,67,66,8,100
29,67,66,8,100
30,67,66,8,100
31,67,66,8,100
32,67,66,8,100
33,67,66,8,100
34,67,66,8,100
35,67,66,8,100
36,67,66,8,100
37,67,66,8,100
38,67,66,9,100
39,67,66,9,100
40,67,66,9,100
41,67,66,9,100
42,67,66,9,100
43,68,67,9,100
44,67,67,9,100
45,68,67,9,100
46,68,67,9,100
47,68,67,8,100
48,67,67,7,100
49,68,67,6,100
50,67,67,5,100
51,67,67,4,100
52,67,67,4,100
53,67,67,2,100
54,67,67,2,100
55,67,67,1,100
56,67,67,1,100
57,67,67,NaN,100
58,67,67,NaN,100
59,67,67,NaN,100
60,67,66,NaN,100
61,66,66,NaN,100
62,66,66,NaN,100
63,66,66,0,100
64,66,66,0,100
65,66,66,0,100
66,66,66,0,100
67,66,66,0,100
68,66,66,0,100
69,67,66,0,100
70,67,66,0,100
71,67,66,0,100
72,67,66,0,100
73,67,66,0,100
74,67,66,0,100
75,67,66,0,100
76,67,66,0,100
77,67,66,0,100
78,67,66,0,100
79,67,66,0,100
80,67,66,0,100
81,67,66,0,100
82,67,66,0,100
83,67,66,0,100
84,67,66,0,100
85,67,66,0,100
86,67,66,0,100
87,67,66,0,100
88,67,66,0,100
89,67,66,0,100
90,67,66,0,99
91,67,66,0,99
92,67,66,NaN,99
93,67,66,NaN,99
94,67,66,NaN,99
95,67,66,NaN,99
96,67,66,NaN,100
97,67,66,NaN,100
98,67,67,NaN,100
99,67,67,19,100
100,67,67,19,100
101,67,67,19,100
102,67,67,18,100
103,67,67,18,100
104,67,66,18,100
105,67,66,18,100
106,67,66,18,100
107,67,66,15,100
108,67,66,15,100
109,67,66,15,100
110,67,66,15,100
111,67,66,15,100
112,67,66,15,100
113,67,66,15,100
114,67,66,15,100
115,66,66,15,100
116,67,66,15,100
117,66,66,15,100
118,67,66,15,100
119,67,66,14,100
120,66,66,13,100
121,66,66,12,100
122,67,66,12,100
123,66,66,NaN,100
124,66,66,NaN,100
125,66,66,NaN,100
126,66,66,NaN,100
127,66,66,NaN,100
128,66,66,0,100
129,66,66,0,100
130,66,66,0,100
131,66,66,0,100
132,66,66,0,100
133,66,66,0,100
134,66,66,0,100
135,66,66,0,100
136,66,66,0,100
137,66,66,0,100
138,66,66,0,100
139,66,66,0,100
140,66,66,0,100
141,66,66,0,100
142,66,66,0,100
143,66,66,0,100
144,66,66,0,100
145,66,66,NaN,100
146,66,66,NaN,100
147,66,66,NaN,100
148,66,66,NaN,100
149,66,66,NaN,100
150,66,66,NaN,100
151,66,66,NaN,100
152,66,66,NaN,100
153,66,66,NaN,100
154,66,66,13,100
155,66,66,13,100
156,66,66,13,100
157,66,66,13,100
158,66,66,13,100
159,67,66,12,100
160,67,66,12,100
161,67,66,12,100
162,67,66,12,100
163,67,66,12,99
164,67,66,12,100
165,67,66,12,100
166,67,66,12,100
167,67,66,12,100
168,67,66,12,100
169,67,66,12,100
170,67,66,12,100
171,67,66,12,100
172,67,66,11,100
173,67,66,10,100
174,67,66,10,100
175,67,66,NaN,100
176,66,66,NaN,100
177,67,66,NaN,100
